#Netuno-R-Beta/Paraná-VIII	LT 7 Set 2017	StratoLoggerCF (SL-3)
#t(s) h(m)	
0 0
0	-46.0248
0.05	-61.5696
0.1	-76.8096
0.15	-92.964
0.2	-109.1184
0.25	-121.0056
0.3	-129.2352
0.35	-133.8072
0.4	-134.7216
0.45	-133.1976
0.5	-127.7112
0.55	-119.7864
0.6	-110.3376
0.65	-101.1936
0.7	-90.5256
0.75	-80.1624
0.8	-69.7992
0.85	-60.0456
0.9	-50.292
0.95	-38.4048
1	-27.7368
1.05	-17.6784
1.1	-6.096
1.15	4.2672
1.2	14.0208
1.25	24.6888
1.3	36.576
1.35	47.5488
1.4	54.5592
1.45	64.008
1.5	74.3712
1.55	81.6864
1.6	89.916
1.65	98.7552
1.7	107.2896
1.75	115.5192
1.8	124.6632
1.85	133.1976
1.9	141.1224
1.95	149.6568
2	159.1056
2.05	166.116
2.1	175.26
2.15	183.4896
2.2	190.1952
2.25	197.8152
2.3	206.6544
2.35	213.36
2.4	221.5896
2.45	229.2096
2.5	237.4392
2.55	244.1448
2.6	251.1552
2.65	259.3848
2.7	266.7
2.75	271.8816
2.8	279.1968
2.85	288.036
2.9	294.4368
2.95	302.0568
3	308.1528
3.05	315.468
3.1	321.564
3.15	327.0504
3.2	332.5368
3.25	340.7664
3.3	347.472
3.35	352.044
3.4	357.8352
3.45	363.9312
3.5	370.332
3.55	374.904
3.6	380.6952
3.65	386.4864
3.7	392.8872
3.75	398.3736
3.8	403.5552
3.85	408.1272
3.9	414.2232
3.95	420.9288
4	424.8912
4.05	429.768
4.1	435.2544
4.15	441.3504
4.2	447.7512
4.25	451.7136
4.3	456.8952
4.35	460.8576
4.4	465.7344
4.45	470.916
4.5	477.3168
4.55	481.2792
4.6	485.8512
4.65	491.0328
4.7	495.9096
4.75	501.396
4.8	505.0536
4.85	509.016
4.9	513.8928
4.95	518.16
5	523.3416
5.05	528.5232
5.1	532.4856
5.15	537.0576
5.2	541.02
5.25	544.9824
5.3	549.8592
5.35	554.4312
5.4	558.3936
5.45	562.356
5.5	566.0136
5.55	569.976
5.6	572.7192
5.65	576.072
5.7	579.7296
5.75	583.692
5.8	586.74
5.85	590.7024
5.9	594.36
5.95	597.408
6	600.456
6.05	604.1136
6.1	607.4664
6.15	610.8192
6.2	614.4768
6.25	617.8296
6.3	620.8776
6.35	624.2304
6.4	627.2784
6.45	630.6312
6.5	633.3744
6.55	636.1176
6.6	639.4704
6.65	642.2136
6.7	645.5664
6.75	648.6144
6.8	651.9672
6.85	654.4056
6.9	657.4536
6.95	659.892
7	662.94
7.05	665.988
7.1	668.7312
7.15	672.084
7.2	674.5224
7.25	677.2656
7.3	680.3136
7.35	683.0568
7.4	685.4952
7.45	687.9336
7.5	690.372
7.55	693.1152
7.6	695.8584
7.65	698.6016
7.7	700.4304
7.75	703.1736
7.8	705.3072
7.85	707.136
7.9	709.5744
7.95	711.708
8	713.8416
8.05	716.5848
8.1	718.7184
8.15	721.1568
8.2	722.9856
8.25	725.424
8.3	727.2528
8.35	729.0816
8.4	731.2152
8.45	733.044
8.5	734.8728
8.55	737.0064
8.6	738.5304
8.65	740.664
8.7	741.8832
8.75	743.4072
8.8	744.9312
8.85	746.4552
8.9	747.9792
8.95	749.5032
9	751.0272
9.05	751.9416
9.1	753.7704
9.15	754.6848
9.2	756.5136
9.25	757.7328
9.3	758.952
9.35	760.1712
9.4	761.0856
9.45	762.6096
