# RD-05 Stratologger 2016-05-06
# t(s)	h (m)
14.95	1921.764
15	1925.7264
15.05	1929.0792
15.1	1933.3464
15.15	1936.6992
15.2	1940.6616
15.25	1944.3192
15.3	1948.2816
15.35	1951.6344
15.4	1955.9016
15.45	1959.864
15.5	1963.5216
15.55	1967.484
15.6	1970.8368
15.65	1974.4944
15.7	1977.5424
15.75	1980.5904
15.8	1983.3336
15.85	1987.6008
15.9	1990.6488
15.95	1994.3064
16	1997.3544
16.05	2001.3168
16.1	2003.7552
16.15	2006.4984
16.2	2010.4608
16.25	2013.8136
16.3	2017.4712
16.35	2021.1288
16.4	2023.5672
16.45	2027.2248
16.5	2030.2728
16.55	2033.6256
16.6	2037.588
16.65	2040.3312
16.7	2042.7696
16.75	2045.8176
16.8	2048.5608
16.85	2050.9992
16.9	2054.352
16.95	2057.4
17	2061.0576
17.05	2063.8008
17.1	2066.8488
17.15	2068.3728
17.2	2071.4208
17.25	2074.4688
17.3	2077.212
17.35	2079.6504
17.4	2082.3936
17.45	2084.5272
17.5	2086.9656
17.55	2090.6232
17.6	2092.452
17.65	2096.1096
17.7	2099.1576
17.75	2100.9864
17.8	2103.7296
17.85	2106.168
17.9	2108.9112
17.95	2110.4352
18	2113.4832
18.05	2115.6168
18.1	2118.0552
18.15	2119.5792
18.2	2122.932
18.25	2124.7608
18.3	2126.8944
18.35	2129.3328
18.4	2131.4664
18.45	2132.9904
18.5	2134.8192
18.55	2136.9528
18.6	2139.3912
18.65	2141.22
18.7	2142.744
18.75	2145.1824
18.8	2147.9256
18.85	2150.6688
18.9	2151.5832
18.95	2153.7168
19	2155.2408
19.05	2157.0696
19.1	2159.2032
19.15	2160.7272
19.2	2162.8608
19.25	2164.6896
19.3	2166.2136
19.35	2168.3472
19.4	2169.8712
19.45	2171.3952
19.5	2173.224
19.55	2175.0528
19.6	2175.9672
19.65	2177.796
19.7	2179.6248
19.75	2180.844
19.8	2182.6728
19.85	2183.5872
19.9	2186.3304
19.95	2187.8544
20	2189.0736
20.05	2190.5976
20.1	2192.1216
20.15	2193.6456
20.2	2194.56
20.25	2196.084
20.3	2196.9984
20.35	2199.4368
20.4	2199.4368
20.45	2201.2656
20.5	2202.4848
20.55	2202.7896
20.6	2204.3136
20.65	2205.228
20.7	2207.0568
20.75	2208.276
20.8	2209.4952
20.85	2209.4952
20.9	2210.7144
20.95	2211.9336
21	2212.5432
21.05	2213.7624
21.1	2214.372
21.15	2215.5912
21.2	2217.1152
21.25	2217.42
21.3	2218.3344
21.35	2219.5536
21.4	2219.5536
21.45	2220.1632
21.5	2221.3824
21.55	2221.992
21.6	2222.9064
21.65	2223.516
21.7	2223.8208
21.75	2224.7352
21.8	2225.04
21.85	2225.9544
21.9	2226.564
21.95	2226.564
22	2226.8688
22.05	2227.7832
22.1	2228.6976
22.15	2228.3928
22.2	2228.6976
22.25	2229.9168
22.3	2229.9168
22.35	2230.2216
22.4	2231.4408
22.45	2231.7456
22.5	2231.4408
22.55	2231.7456
22.6	2232.3552
22.65	2232.0504
22.7	2232.66
22.75	2232.3552
22.8	2232.0504
22.85	2232.3552
22.9	2232.9648
22.95	2232.9648
23	2232.3552
23.05	2232.3552
23.1	2232.66
23.15	2232.0504
23.2	2233.5744
23.25	2225.9544
23.3	2232.66
23.35	2233.8792
23.4	2234.184
23.45	2234.4888
23.5	2235.708
23.55	2237.5368
23.6	2240.28
23.65	2242.7184
23.7	2243.0232
23.75	2238.1464
23.8	2234.184
23.85	2238.1464
23.9	2248.5096
23.95	2257.6536
24	2248.8144
24.05	2244.5472
24.1	2241.4992
24.15	2255.2152
24.2	2259.7872
24.25	2275.332
24.3	2278.0752
24.35	2295.144
24.4	2294.8392
24.45	2276.2464
24.5	2263.7496
24.55	2256.1296
24.6	2246.6808
24.65	2232.66
24.7	2231.4408
24.75	2249.424
24.8	2243.9376
24.85	2256.4344
24.9	2241.4992
24.95	2235.4032
25	2230.2216
25.05	2228.3928
25.1	2228.3928
25.15	2229.0024
25.2	2232.3552
25.25	2239.0608
25.3	2249.7288
25.35	2245.7664
25.4	2229.9168
25.45	2238.1464
25.5	2243.9376
25.55	2241.1944
25.6	2235.708
25.65	2227.4784
25.7	2219.5536
25.75	2218.3344
25.8	2217.1152
25.85	2218.944
25.9	2218.944
25.95	2220.468
26	2218.6392
26.05	2220.1632
26.1	2227.1736
26.15	2234.7936
26.2	2227.4784
26.25	2225.04
26.3	2227.1736
26.35	2224.7352
26.4	2218.3344
26.45	2215.5912
26.5	2217.1152
26.55	2215.5912
26.6	2215.896
26.65	2218.944
26.7	2217.1152
26.75	2209.4952
26.8	2202.4848
26.85	2193.9504
26.9	2196.6936
26.95	2195.7792
27	2197.608
27.05	2201.5704
27.1	2200.3512
27.15	2203.0944
27.2	2205.5328
27.25	2203.3992
27.3	2203.704
27.35	2207.0568
27.4	2208.5808
27.45	2210.1048
27.5	2207.0568
27.55	2203.3992
27.6	2193.9504
27.65	2191.8168
27.7	2191.512
27.75	2190.5976
27.8	2190.2928
27.85	2188.464
27.9	2183.5872
27.95	2179.32
28	2182.9776
28.05	2179.6248
28.1	2183.2824
28.15	2183.5872
28.2	2177.4912
28.25	2170.7856
28.3	2166.2136
28.35	2159.2032
28.4	2159.508
28.45	2160.4224
28.5	2159.8128
28.55	2159.2032
28.6	2164.9944
28.65	2168.9568
28.7	2169.5664
28.75	2168.0424
28.8	2170.7856
28.85	2169.5664
28.9	2168.3472
28.95	2164.6896
29	2161.9464
29.05	2155.2408
29.1	2147.316
29.15	2145.4872
29.2	2142.4392
29.25	2142.744
29.3	2141.8296
29.35	2141.8296
29.4	2142.1344
29.45	2140.9152
29.5	2136.648
29.55	2134.2096
29.6	2138.4768
29.65	2133.9048
29.7	2135.7336
29.75	2131.7712
29.8	2132.3808
29.85	2127.504
29.9	2129.028
29.95	2130.2472
30	2125.3704
30.05	2125.98
30.1	2124.7608
30.15	2122.932
30.2	2123.2368
30.25	2118.36
30.3	2119.2744
30.35	2119.5792
30.4	2120.7984
30.45	2119.884
30.5	2116.836
30.55	2117.4456
30.6	2114.3976
30.65	2112.8736
30.7	2112.264
30.75	2111.6544
30.8	2109.8256
