#Netuno-R-B/Galateia-4			LT 20 Nov 2022		StratoLoggerCF (SL-9)
#t(s)	h (m)
18.05	302.0568
18.1	297.18
18.15	293.8272
18.2	292.9128
18.25	292.9128
18.3	292.608
18.35	291.9984
18.4	293.5224
18.45	295.656
18.5	295.656
18.55	295.3512
18.6	295.656
18.65	294.4368
18.7	291.9984
18.75	288.6456
18.8	288.3408
18.85	287.1216
18.9	287.4264
18.95	288.6456
19	288.9504
19.05	288.9504
19.1	287.4264
19.15	284.988
19.2	283.1592
19.25	283.1592
19.3	282.5496
19.35	281.94
19.4	282.2448
19.45	281.94
19.5	281.6352
19.55	283.7688
19.6	285.9024
19.65	287.1216
19.7	287.1216
19.75	284.988
19.8	281.3304
19.85	278.5872
19.9	277.368
19.95	277.0632
20	277.9776
20.05	279.8064
20.1	280.416
20.15	280.416
20.2	279.5016
20.25	278.892
20.3	277.9776
20.35	275.5392
20.4	273.4056
20.45	272.4912
20.5	270.9672
20.55	270.3576
20.6	269.748
20.65	269.4432
20.7	269.1384
20.75	268.5288
20.8	267.6144
20.85	267.9192
20.9	267.6144
20.95	267.9192
21	270.3576
21.05	273.7104
21.1	275.2344
21.15	274.6248
21.2	274.32
21.25	273.4056
21.3	271.5768
21.35	270.6624
21.4	269.748
21.45	268.8336
21.5	267.3096
21.55	264.2616
21.6	260.604
21.65	259.3848
21.7	258.4704
21.75	257.8608
21.8	257.556
21.85	257.2512
21.9	257.8608
21.95	260.2992
22	263.0424
22.05	263.3472
22.1	262.4328
22.15	260.2992
22.2	255.7272
22.25	254.508
22.3	253.8984
22.35	253.2888
22.4	255.1176
22.45	258.4704
22.5	259.3848
22.55	258.4704
22.6	257.556
22.65	257.556
22.7	256.9464
22.75	256.032
22.8	254.2032
22.85	253.5936
22.9	254.508
22.95	253.8984
23	252.6792
23.05	247.8024
23.1	246.2784
23.15	245.364
23.2	244.7544
23.25	243.84
23.3	244.4496
23.35	245.364
23.4	250.2408
23.45	252.0696
23.5	249.0216
23.55	248.412
23.6	249.6312
23.65	247.1928
23.7	245.6688
23.75	244.4496
23.8	244.1448
23.85	243.5352
23.9	241.4016
23.95	237.744
24	236.8296
24.05	235.6104
24.1	236.22
24.15	235.9152
24.2	235.3056
24.25	235.3056
24.3	235.0008
24.35	234.696
24.4	233.7816
24.45	233.7816
24.5	232.2576
24.55	232.2576
24.6	231.648
24.65	231.648
24.7	231.0384
24.75	230.4288
24.8	230.124
24.85	229.8192
24.9	230.7336
24.95	231.3432
25	233.4768
25.05	234.3912
25.1	233.7816
25.15	231.648
25.2	229.2096
25.25	227.3808
25.3	226.1616
25.35	224.9424
25.4	224.3328
25.45	223.4184
25.5	222.8088
25.55	222.1992
25.6	222.1992
25.65	221.2848
25.7	221.5896
25.75	220.6752
25.8	220.6752
25.85	222.504
25.9	225.552
25.95	227.076
26	226.4664
26.05	224.3328
26.1	220.98
26.15	219.1512
26.2	217.6272
26.25	216.7128
26.3	217.3224
26.35	217.6272
26.4	217.932
26.45	217.0176
26.5	216.1032
26.55	216.1032
26.6	215.7984
26.65	216.1032
26.7	216.1032
26.75	213.36
26.8	210.6168
26.85	209.7024
26.9	208.788
26.95	208.1784
27	207.264
27.05	207.5688
27.1	206.3496
27.15	206.3496
27.2	207.264
27.25	206.6544
27.3	205.4352
27.35	204.5208
27.4	203.9112
27.45	203.9112
27.5	204.8256
27.55	209.3976
27.6	212.1408
27.65	211.5312
27.7	210.9216
27.75	210.0072
27.8	208.1784
27.85	207.5688
27.9	206.3496
27.95	204.8256
28	203.3016
28.05	200.8632
28.1	199.644
28.15	197.2056
28.2	195.3768
28.25	194.1576
28.3	192.9384
28.35	192.3288
28.4	192.3288
28.45	192.9384
28.5	192.6336
28.55	192.3288
28.6	192.024
28.65	191.1096
28.7	190.5
28.75	190.8048
28.8	190.1952
28.85	188.976
28.9	188.976
28.95	190.8048
29	193.548
29.05	195.072
29.1	193.2432
29.15	192.6336
29.2	192.024
29.25	192.024
29.3	192.6336
29.35	192.3288
29.4	190.1952
29.45	186.8424
29.5	182.5752
29.55	180.4416
29.6	180.1368
29.65	179.832
29.7	179.832
29.75	180.1368
29.8	181.6608
29.85	183.4896
29.9	182.2704
29.95	181.0512
30	179.5272
30.05	179.2224
30.1	179.5272
30.15	179.832
30.2	179.832
30.25	178.6128
30.3	175.5648
30.35	175.26
30.4	174.6504
30.45	174.9552
30.5	175.5648
30.55	176.1744
30.6	175.8696
30.65	175.5648
30.7	176.1744
30.75	175.8696
30.8	175.8696
30.85	175.26
30.9	170.9928
30.95	167.64
31	166.7256
31.05	165.5064
