# Netuno-F/Galateia-9			LT 17 Dez 2023		StratoLoggerCF (SL-9)	
# t(s)	h (m)
18.1	21.336
18.15	20.7264
18.2	19.5072
18.25	19.2024
18.3	18.8976
18.35	19.2024
18.4	18.5928
18.45	18.288
18.5	18.288
18.55	18.288
18.6	19.2024
18.65	19.812
18.7	18.8976
18.75	18.288
18.8	17.3736
18.85	17.0688
18.9	15.8496
18.95	15.5448
19	14.9352
19.05	14.0208
19.1	14.3256
19.15	13.716
19.2	12.8016
19.25	12.4968
19.3	12.4968
19.35	12.4968
19.4	11.5824
19.45	12.192
19.5	11.8872
19.55	11.8872
19.6	11.5824
19.65	10.9728
19.7	10.3632
19.75	10.0584
19.8	9.7536
19.85	10.0584
19.9	9.7536
19.95	9.4488
20	9.4488
20.05	9.144
20.1	8.8392
20.15	8.2296
20.2	7.62
20.25	6.4008
20.3	5.7912
20.35	5.4864
20.4	5.7912
20.45	4.2672
20.5	4.572
20.55	4.2672
20.6	4.572
20.65	3.3528
20.7	3.048
20.75	2.1336
20.8	1.524
20.85	1.524
20.9	0.9144
20.95	0.9144
21	0.6096
21.05	0
21.1	-1.2192
21.15	-0.3048
21.2	0.3048
21.25	-0.3048
21.3	-3.048
21.35	-3.3528
21.4	-2.4384
21.45	-2.4384
21.5	-1.524
21.55	-2.4384
21.6	-2.4384
21.65	-2.4384
21.7	-2.4384
21.75	-2.4384
21.8	-2.4384
21.85	-2.7432
21.9	-2.4384
21.95	-2.4384
22	-2.7432
22.05	-3.048
22.1	-2.7432
22.15	-2.4384
22.2	-2.7432
22.25	-2.4384
22.3	-2.4384
22.35	-2.4384
22.4	-2.4384
22.45	-2.7432
22.5	-3.048
22.55	-2.7432
22.6	-2.7432
22.65	-2.7432
22.7	-2.4384
22.75	-3.048
22.8	-2.4384
22.85	-2.7432
22.9	-2.4384
22.95	-2.7432
23	-3.048
23.05	-2.7432
23.1	-2.7432
23.15	-2.7432
23.2	-3.048
23.25	-2.4384
23.3	-2.4384
23.35	-2.4384
23.4	-2.7432
23.45	-2.7432
23.5	-3.048
23.55	-2.4384
23.6	-2.7432
23.65	-2.4384
23.7	-3.048
23.75	-2.4384
23.8	-2.7432
23.85	-2.7432
23.9	-2.7432
23.95	-2.7432
24	-2.7432
24.05	-2.4384
24.1	-2.4384
24.15	-2.7432
24.2	-2.4384
24.25	-2.7432
24.3	-3.3528
24.35	-2.7432
24.4	-2.4384
24.45	-2.4384
24.5	-2.7432
24.55	-2.7432
24.6	-2.7432
24.65	-2.4384
24.7	-2.7432
24.75	-2.7432
24.8	-2.7432
24.85	-2.4384
24.9	-2.4384
24.95	-2.1336
25	-2.4384
25.05	-2.7432
25.1	-2.7432
25.15	-2.7432
25.2	-3.3528
25.25	-3.048
25.3	-3.048
25.35	-2.4384
25.4	-2.7432
25.45	-2.7432
25.5	-2.7432
25.55	-2.4384
25.6	-2.7432
25.65	-2.7432
25.7	-2.4384
25.75	-2.4384
25.8	-2.4384
25.85	-2.4384
25.9	-2.7432
25.95	-2.7432
26	-2.7432
26.05	-2.7432
26.1	-2.4384
26.15	-2.4384
26.2	-2.4384
26.25	-2.4384
26.3	-2.7432
26.35	-2.4384
26.4	-3.048
26.45	-2.7432
26.5	-2.7432
26.55	-2.4384
26.6	-2.7432
26.65	-2.7432
26.7	-2.7432
26.75	-2.7432
26.8	-2.7432
26.85	-2.4384
26.9	-2.7432
26.95	-2.4384
27	-2.7432
27.05	-2.7432
27.1	-2.7432
27.15	-2.4384
27.2	-2.4384
27.25	-2.4384
27.3	-2.7432
27.35	-3.048
27.4	-3.048
27.45	-2.7432
27.5	-2.7432
27.55	-2.4384
27.6	-3.048
27.65	-2.7432
27.7	-2.7432
27.75	-2.7432
27.8	-2.7432
27.85	-2.4384
27.9	-2.4384
27.95	-3.048
28	-2.7432
28.05	-2.7432
28.1	-2.4384
28.15	-3.048
28.2	-2.7432
28.25	-2.7432
28.3	-2.4384
28.35	-2.7432
28.4	-2.7432
28.45	-3.048
28.5	-2.7432
28.55	-3.048
28.6	-2.4384
28.65	-2.7432
28.7	-2.4384
28.75	-2.7432
28.8	-3.048
28.85	-2.4384
28.9	-2.7432
28.95	-2.4384
29	-2.4384
29.05	-2.7432
29.1	-3.048
29.15	-2.4384
29.2	-2.7432
29.25	-2.7432
29.3	-3.048
29.35	-3.3528
29.4	-2.7432
29.45	-2.7432
29.5	-2.4384
29.55	-2.7432

