# Netuno-F/Galateia-1			LT 12 Jun 2022		StratoLoggerCF (SL-8)	
#t(s)	h (m)
18.05	225.8568
18.1	225.552
18.15	224.9424
18.2	224.6376
18.25	224.3328
18.3	224.028
18.35	224.028
18.4	223.1136
18.45	223.1136
18.5	222.1992
18.55	221.2848
18.6	220.98
18.65	220.0656
18.7	219.1512
18.75	218.8464
18.8	218.8464
18.85	218.2368
18.9	218.5416
18.95	217.3224
19	217.0176
19.05	216.408
19.1	215.1888
19.15	215.1888
19.2	214.884
19.25	213.9696
19.3	213.6648
19.35	212.7504
19.4	212.7504
19.45	212.1408
19.5	211.836
19.55	211.2264
19.6	210.6168
19.65	210.0072
19.7	210.0072
19.75	209.7024
19.8	208.788
19.85	208.788
19.9	207.5688
19.95	208.4832
20	209.0928
20.05	207.5688
20.1	207.5688
20.15	205.74
20.2	205.1304
20.25	204.8256
20.3	203.9112
20.35	202.9968
20.4	202.0824
20.45	202.0824
20.5	202.0824
20.55	202.9968
20.6	202.0824
20.65	202.0824
20.7	200.5584
20.75	199.0344
20.8	199.0344
20.85	199.0344
20.9	198.4248
20.95	197.8152
21	197.2056
21.05	196.9008
21.1	196.596
21.15	196.9008
21.2	196.9008
21.25	196.596
21.3	195.9864
21.35	195.6816
21.4	195.3768
21.45	194.7672
21.5	193.548
21.55	192.024
21.6	192.024
21.65	192.6336
21.7	192.6336
21.75	192.024
21.8	191.4144
21.85	190.5
21.9	190.1952
21.95	189.5856
22	189.2808
22.05	188.6712
22.1	188.3664
22.15	187.7568
22.2	187.452
22.25	187.1472
22.3	187.452
22.35	186.8424
22.4	186.5376
22.45	185.928
22.5	185.6232
22.55	185.0136
22.6	184.7088
22.65	183.7944
22.7	183.7944
22.75	183.7944
22.8	183.1848
22.85	183.1848
22.9	182.5752
22.95	181.9656
23	181.9656
23.05	181.0512
23.1	180.1368
23.15	180.4416
23.2	179.832
23.25	179.5272
23.3	178.6128
23.35	178.0032
23.4	178.308
23.45	177.6984
23.5	177.6984
23.55	177.0888
23.6	176.784
23.65	176.4792
23.7	175.8696
23.75	175.5648
23.8	175.5648
23.85	174.9552
23.9	174.3456
23.95	173.4312
24	173.4312
24.05	172.8216
24.1	171.9072
24.15	171.9072
24.2	171.9072
24.25	171.9072
24.3	171.2976
24.35	170.9928
24.4	170.3832
24.45	169.4688
24.5	169.4688
24.55	168.2496
24.6	167.9448
24.65	167.3352
24.7	167.3352
24.75	167.9448
24.8	167.3352
24.85	167.0304
24.9	166.116
24.95	164.8968
25	164.592
25.05	164.592
25.1	163.9824
25.15	163.9824
25.2	163.6776
25.25	163.3728
25.3	162.4584
25.35	162.4584
25.4	161.544
25.45	161.544
25.5	161.544
25.55	160.9344
25.6	160.6296
25.65	160.6296
25.7	160.02
25.75	159.4104
25.8	159.1056
25.85	158.496
25.9	158.1912
25.95	158.1912
26	157.8864
26.05	157.8864
26.1	157.2768
26.15	157.2768
26.2	156.972
26.25	155.7528
26.3	155.448
26.35	154.5336
26.4	154.5336
26.45	153.6192
26.5	153.6192
26.55	153.3144
26.6	153.0096
26.65	153.0096
26.7	153.3144
26.75	152.4
26.8	152.4
26.85	151.7904
26.9	151.1808
26.95	150.5712
27	149.9616
27.05	149.6568
27.1	149.352
27.15	148.7424
27.2	149.6568
27.25	149.352
27.3	148.7424
27.35	148.1328
27.4	147.828
27.45	146.9136
27.5	146.9136
27.55	146.6088
27.6	145.9992
27.65	145.0848
27.7	145.9992
27.75	145.0848
27.8	145.0848
27.85	145.6944
27.9	144.78
27.95	144.4752
28	143.5608
28.05	142.9512
28.1	142.3416
28.15	142.6464
28.2	141.4272
28.25	140.8176
28.3	140.8176
28.35	140.8176
28.4	140.5128
28.45	140.208
28.5	140.208
28.55	139.9032
28.6	139.2936
28.65	138.3792
28.7	138.3792
28.75	137.7696
28.8	136.8552
28.85	136.8552
28.9	136.5504
28.95	136.8552
29	136.5504
29.05	135.3312
29.1	135.0264
29.15	134.7216
29.2	134.4168
29.25	133.8072
29.3	133.5024
29.35	133.1976
29.4	132.8928
29.45	132.8928
29.5	132.2832
29.55	131.9784
29.6	131.6736
29.65	131.3688
29.7	130.7592
29.75	130.1496
29.8	129.54
29.85	128.9304
29.9	128.016
29.95	128.016
30	128.016
30.05	127.7112
30.1	127.7112
30.15	127.1016
30.2	126.7968
30.25	127.1016
30.3	126.1872
30.35	125.2728
30.4	125.2728
30.45	124.968
30.5	124.0536
30.55	123.444
30.6	123.444
30.65	123.444
30.7	123.444
30.75	122.8344
30.8	122.8344
30.85	122.2248
30.9	121.6152
30.95	121.0056
31	120.396
31.05	120.0912
31.1	119.7864
31.15	119.1768
31.2	119.4816
31.25	119.1768
31.3	119.1768
31.35	118.5672
31.4	118.2624
31.45	117.348
31.5	116.7384
31.55	116.1288
31.6	115.824
31.65	115.2144
31.7	114.9096
31.75	114.6048
31.8	113.9952
31.85	113.6904
31.9	113.6904
31.95	113.9952
32	113.3856
32.05	112.1664
32.1	111.5568
32.15	111.252
32.2	110.9472
32.25	110.6424
32.3	110.6424
32.35	109.728
32.4	109.4232
32.45	109.1184
