# Atom GFRJ-UFRJ-Canalle-2018-8-20
# t(s)	h (m)	
17.05	2131.7712
17.1	2134.8192
17.15	2138.7816
17.2	2141.5248
17.25	2144.5728
17.3	2148.2304
17.35	2151.5832
17.4	2154.3264
17.45	2157.6792
17.5	2160.4224
17.55	2163.4704
17.6	2166.8232
17.65	2169.8712
17.7	2172.9192
17.75	2175.9672
17.8	2178.4056
17.85	2182.368
17.9	2184.5016
17.95	2188.1592
18	2190.5976
18.05	2193.3408
18.1	2196.9984
18.15	2199.7416
18.2	2202.4848
18.25	2205.228
18.3	2207.9712
18.35	2210.4096
18.4	2212.848
18.45	2216.2008
18.5	2218.6392
18.55	2221.6872
18.6	2224.1256
18.65	2226.8688
18.7	2229.0024
18.75	2231.136
18.8	2233.8792
18.85	2236.9272
18.9	2239.0608
18.95	2242.4136
19	2244.2424
19.05	2246.9856
19.1	2249.424
19.15	2251.2528
19.2	2253.996
19.25	2256.1296
19.3	2258.2632
19.35	2261.0064
19.4	2263.14
19.45	2265.2736
19.5	2267.712
19.55	2270.1504
19.6	2271.6744
19.65	2274.4176
19.7	2276.2464
19.75	2278.6848
19.8	2280.5136
19.85	2282.952
19.9	2283.5616
19.95	2286.6096
20	2288.4384
20.05	2291.1816
20.1	2292.7056
20.15	2294.2296
20.2	2296.668
20.25	2298.4968
20.3	2299.716
20.35	2301.8496
20.4	2304.288
20.45	2305.812
20.5	2307.336
20.55	2309.1648
20.6	2310.6888
20.65	2312.8224
20.7	2314.0416
20.75	2315.2608
20.8	2317.3944
20.85	2318.6136
20.9	2320.7472
20.95	2321.6616
21	2323.7952
21.05	2325.0144
21.1	2326.2336
21.15	2328.3672
21.2	2328.9768
21.25	2330.5008
21.3	2331.72
21.35	2333.5488
21.4	2334.4632
21.45	2336.5968
21.5	2337.5112
21.55	2338.4256
21.6	2339.9496
21.65	2341.4736
21.7	2342.388
21.75	2343.3024
21.8	2344.8264
21.85	2346.0456
21.9	2346.6552
21.95	2348.1792
22	2349.3984
22.05	2350.9224
22.1	2350.9224
22.15	2352.1416
22.2	2353.056
22.25	2353.9704
22.3	2354.8848
22.35	2356.4088
22.4	2357.3232
22.45	2357.9328
22.5	2358.5424
22.55	2360.0664
22.6	2360.0664
22.65	2360.9808
22.7	2361.8952
22.75	2362.8096
22.8	2363.1144
22.85	2364.0288
22.9	2364.3336
22.95	2364.9432
23	2365.8576
23.05	2365.8576
23.1	2366.4672
23.15	2367.6864
23.2	2367.3816
23.25	2367.6864
23.3	2368.6008
23.35	2369.2104
23.4	2369.82
23.45	2369.2104
23.5	2369.82
23.55	2369.82
23.6	2370.4296
23.65	2370.7344
23.7	2371.0392
23.75	2371.344
23.8	2371.344
23.85	2372.5632
23.9	2371.6488
24	2412.492
24.05	2385.3648
24.1	2378.3544
24.15	2375.6112
24.2	2374.392
24.25	2373.7824
24.3	2373.1728
24.35	2372.868
24.4	2373.1728
24.45	2373.1728
24.5	2372.2584
24.55	2372.5632
24.6	2372.2584
24.65	2372.868
24.7	2372.5632
24.75	2372.2584
24.8	2372.2584
24.85	2371.9536
24.9	2372.2584
24.95	2371.9536
25	2372.2584
25.05	2371.9536
25.1	2372.2584
25.15	2372.5632
25.2	2372.868
25.25	2372.5632
25.3	2373.1728
25.35	2373.4776
25.4	2371.9536
25.45	2372.2584
25.5	2371.0392
25.55	2370.4296
25.6	2367.9912
25.65	2368.6008
25.7	2367.6864
25.75	2367.6864
25.8	2366.772
25.85	2369.5152
25.9	2372.2584
25.95	2374.392
26.95	2374.392
27.95	2364.392
28.95	2354.392
29.95	2344.392
30.95	2334.392
31.95	2324.392
32.95	2314.392
33.95	2304.392
34.95	2294.392
35.95	2284.392
36.95	2274.392
37.95	2264.392
38.95	2254.392
39.95	2244.392
40.95	2234.392
41.95	2224.392
42.95	2214.392
43.95	2204.392
44.95	2194.392
45.95	2184.392
