#Saturno-Alfa-2_Tita-4_rRocket-EZ-2023-1_LT-2024-01-14
#t(s)	h (m)
108	191.3
108.25	189.7
108.5	188.1
108.75	186.2
109	184.2
109.25	182.2
109.5	180.1
109.75	177
110	175.1
110.25	172.6
110.5	171.1
110.75	168.6
111	166.7
111.25	163.6
111.5	162.4
111.75	159.3
112	157.7
112.25	155.6
112.5	153.3
112.75	151.4
113	149.1
113.25	146.7
113.5	145.6
113.75	144.1
114	141.3
114.25	139.6
114.5	137.6
114.75	134.9
115	132.6
115.25	130.5
115.5	129.1
115.75	127.2
116	125
116.25	122
116.5	120.7
116.75	118.9
117	116.7
117.25	113.3
117.5	111.7
117.75	109.8
118	108.1
118.25	105.7
118.5	103.3
118.75	100.1
119	98.2
119.25	96
119.5	93.9
119.75	91.8
120	88.9
120.25	87.2
120.5	85.8
120.75	82.3
121	80.7
121.25	78.4
121.5	75.4
121.75	72.8
122	71
122.25	68.2
122.5	66.7
122.75	63.8
123	61.1
123.25	59.1
123.5	56.1
123.75	54.3
124	52.4
124.25	49.6
124.5	47.2
124.75	44.9
125	42.9
125.25	40.3
125.5	38.6
125.75	35.5
126	33.5
126.25	31.2
126.5	28.4
126.75	26.3
127	24.7
127.25	22.6
 	
