#Netuno-F/Galateia-2			LT 28 Ago 2022		StratoLoggerCF (SL-9)	
#t(s)	h (m)
18.05	258.4704
18.1	258.4704
18.15	258.1656
18.2	257.556
18.25	257.2512
18.3	256.6416
18.35	256.032
18.4	255.7272
18.45	255.7272
18.5	255.4224
18.55	255.1176
18.6	254.2032
18.65	254.2032
18.7	253.5936
18.75	253.8984
18.8	253.5936
18.85	252.984
18.9	252.3744
18.95	251.7648
19	251.46
19.05	251.46
19.1	251.1552
19.15	250.8504
19.2	250.2408
19.25	249.936
19.3	249.6312
19.35	249.6312
19.4	249.0216
19.45	248.7168
19.5	248.412
19.55	248.1072
19.6	248.1072
19.65	247.4976
19.7	246.5832
19.75	246.5832
19.8	246.2784
19.85	245.6688
19.9	245.0592
19.95	245.0592
20	244.7544
20.05	244.4496
20.1	244.1448
20.15	243.2304
20.2	243.5352
20.25	243.2304
20.3	242.9256
20.35	242.316
20.4	241.7064
20.45	241.0968
20.5	241.0968
20.55	240.4872
20.6	240.4872
20.65	240.1824
20.7	239.5728
20.75	238.9632
20.8	238.6584
20.85	238.3536
20.9	237.744
20.95	237.4392
21	237.4392
21.05	236.8296
21.1	236.5248
21.15	236.22
21.2	235.9152
21.25	235.9152
21.3	235.3056
21.35	235.0008
21.4	234.696
21.45	234.696
21.5	234.3912
21.55	233.4768
21.6	233.7816
21.65	233.4768
21.7	232.5624
21.75	231.9528
21.8	231.9528
21.85	231.3432
21.9	230.7336
21.95	230.124
22	230.124
22.05	229.5144
22.1	229.5144
22.15	228.9048
22.2	228.6
22.25	228.2952
22.3	228.2952
22.35	227.6856
22.4	227.3808
22.45	226.7712
22.5	226.4664
22.55	225.552
22.6	226.4664
22.65	225.552
22.7	225.552
22.75	224.9424
22.8	224.3328
22.85	223.7232
22.9	223.7232
22.95	223.1136
23	223.1136
23.05	222.504
23.1	222.8088
23.15	222.1992
23.2	222.1992
23.25	221.5896
23.3	220.6752
23.35	221.2848
23.4	220.6752
23.45	220.3704
23.5	219.7608
23.55	219.1512
23.6	219.1512
23.65	218.5416
23.7	218.5416
23.75	217.6272
23.8	217.0176
23.85	217.0176
23.9	217.0176
23.95	216.408
24	216.408
24.05	216.1032
24.1	215.1888
24.15	215.4936
24.2	214.5792
24.25	214.2744
24.3	213.9696
24.35	213.9696
24.4	213.9696
24.45	213.0552
24.5	212.4456
24.55	212.1408
24.6	211.5312
24.65	210.9216
24.7	210.9216
24.75	211.2264
24.8	210.6168
24.85	210.6168
24.9	209.7024
24.95	210.0072
25	209.0928
25.05	208.788
25.1	208.4832
25.15	208.1784
25.2	208.1784
25.25	208.1784
25.3	207.8736
25.35	207.8736
25.4	207.264
25.45	206.3496
25.5	206.6544
25.55	206.0448
25.6	206.0448
25.65	205.1304
25.7	204.5208
25.75	203.6064
25.8	203.3016
25.85	203.3016
25.9	203.3016
25.95	202.3872
26	202.3872
26.05	202.0824
26.1	201.7776
26.15	201.4728
